Cause-Effect	Cause	Effect	Bootstrap:Mean	AbsBootstrap:Mean	Test	Lag	Coef	Bootstrap:Std	Bootstrap:Freq
G1-G1	G1	G1	0.24927842903310152	0.24927842903310152	e	2	1	0.054306599807994745	1.0
G61-G61	G61	G61	0.25140557655983964	0.25140557655983964	e	2	1	0.054433946443462874	1.0
G71-G71	G71	G71	0.40584994219975795	0.40584994219975795	e	2	1	0.09646362076460764	1.0
G26-G30	G26	G30	0.1251128856191663	0.1251128856191663	e	2	1	0.038835348192256626	1.0
G26-G34	G26	G34	-0.1840386266042202	0.1840386266042202	e	2	1	0.0324582492065986	1.0
G70-G70	G70	G70	0.4079050320705986	0.4079050320705986	e	2	1	0.09628703442604318	1.0
G69-G48	G69	G48	0.09743369532735603	0.09743369532735603	e	2	1	0.04051487848774688	1.0
G26-G82	G26	G82	0.060379512270351626	0.060379512270351626	e	2	1	0.022412590701208997	1.0
G66-G66	G66	G66	0.19607054739712054	0.19607054739712054	e	2	1	0.06669299864265954	1.0
G65-G65	G65	G65	0.21120107878326916	0.21120107878326916	e	2	1	0.06716891754753072	1.0
G63-G79	G63	G79	-0.18307404132634333	0.18307404132634333	e	2	1	0.03284981903569269	1.0
G10-G43	G10	G43	0.186185591047543	0.186185591047543	e	2	1	0.0632396551850674	1.0
G63-G59	G63	G59	-0.08204603860379162	0.08204603860379162	e	2	1	0.027070781167278034	1.0
G28-G28	G28	G28	0.20257352122058758	0.20257352122058758	e	2	1	0.05233580637303832	1.0
G72-G76	G72	G76	-0.17895017124643606	0.17895017124643606	e	2	1	0.054255127701312675	1.0
G57-G57	G57	G57	0.19218910880996823	0.19218910880996823	e	2	1	0.045449908716403586	1.0
G57-G49	G57	G49	-0.15458773606182863	0.15458773606182863	e	2	1	0.05404601525833463	1.0
G16-G16	G16	G16	0.4880856941840437	0.4880856941840437	e	2	1	0.08413392820056603	1.0
G56-G56	G56	G56	0.43623929311312476	0.43623929311312476	e	2	1	0.05797840747021818	1.0
G29-G29	G29	G29	0.11861958086868427	0.11861958086868427	e	2	1	0.040472841921674746	1.0
G10-G49	G10	G49	0.11274434430477147	0.11274434430477147	e	2	1	0.04062714397758629	1.0
G53-G53	G53	G53	0.14142768324470825	0.14142768324470825	e	2	1	0.0405317333348489	1.0
G51-G66	G51	G66	0.1371522079037269	0.1371522079037269	e	2	1	0.0394034587724352	1.0
G51-G51	G51	G51	0.1999034109094006	0.1999034109094006	e	2	1	0.06121517415048315	1.0
G51-G43	G51	G43	0.19181499647257702	0.19181499647257702	e	2	1	0.05081937009189528	1.0
G31-G31	G31	G31	0.3093870038816043	0.3093870038816043	e	2	1	0.053399428142897415	1.0
G72-G72	G72	G72	0.3675061457362433	0.3675061457362433	e	2	1	0.07652279868067437	1.0
G73-G73	G73	G73	0.23597092013786927	0.23597092013786927	e	2	1	0.07849956556608878	1.0
G85-G20	G85	G20	-0.04522096951281233	0.04522096951281233	e	2	1	0.019258244527671848	1.0
G21-G98	G21	G98	-0.3961219911843189	0.3961219911843189	e	2	1	0.06136690698532213	1.0
G84-G84	G84	G84	0.21250311424669935	0.21250311424669935	e	2	1	0.049169311831038065	1.0
