Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
G38-G83	G38	G83	0.283298784010485	0.283298784010485	enet	2	1
G81-G37	G81	G37	0.23263685839179832	0.23263685839179832	enet	2	1
G80-G36	G80	G36	0.23085911184199778	0.23085911184199778	enet	2	1
G7-G72	G7	G72	-0.2262791932365813	0.2262791932365813	enet	2	1
G4-G36	G4	G36	0.2159824427638477	0.2159824427638477	enet	2	1
G65-G24	G65	G24	-0.21081604993609093	0.21081604993609093	enet	2	1
G25-G26	G25	G26	0.20729134836683918	0.20729134836683918	enet	2	1
G7-G52	G7	G52	0.20293650677137032	0.20293650677137032	enet	2	1
G10-G37	G10	G37	-0.19428555716698137	0.19428555716698137	enet	2	1
G29-G73	G29	G73	-0.19398895240420966	0.19398895240420966	enet	2	1
G74-G37	G74	G37	-0.1861407076177868	0.1861407076177868	enet	2	1
G67-G71	G67	G71	-0.1804764204851063	0.1804764204851063	enet	2	1
G60-G48	G60	G48	0.18036211414521236	0.18036211414521236	enet	2	1
G7-G74	G7	G74	-0.17973823253767812	0.17973823253767812	enet	2	1
G50-G39	G50	G39	0.17960981206010862	0.17960981206010862	enet	2	1
G4-G37	G4	G37	0.17904287359305185	0.17904287359305185	enet	2	1
G84-G91	G84	G91	-0.1763664342616971	0.1763664342616971	enet	2	1
G59-G100	G59	G100	0.17467801963199037	0.17467801963199037	enet	2	1
G57-G73	G57	G73	-0.17003359441811405	0.17003359441811405	enet	2	1
G4-G71	G4	G71	0.16648575009720426	0.16648575009720426	enet	2	1
G1-G36	G1	G36	0.16593717582959655	0.16593717582959655	enet	2	1
G60-G24	G60	G24	-0.1641821492421002	0.1641821492421002	enet	2	1
G48-G37	G48	G37	-0.1622734412174536	0.1622734412174536	enet	2	1
G8-G36	G8	G36	0.1614456583689366	0.1614456583689366	enet	2	1
G34-G37	G34	G37	-0.1608216047768793	0.1608216047768793	enet	2	1
G34-G95	G34	G95	0.15721752716619591	0.15721752716619591	enet	2	1
G94-G63	G94	G63	0.15560651979443094	0.15560651979443094	enet	2	1
G29-G72	G29	G72	-0.1540636943152092	0.1540636943152092	enet	2	1
G34-G36	G34	G36	-0.15295807445749393	0.15295807445749393	enet	2	1
G17-G95	G17	G95	0.15222913515556954	0.15222913515556954	enet	2	1
G62-G46	G62	G46	-0.15213120458325277	0.15213120458325277	enet	2	1
G10-G89	G10	G89	0.15115619156603471	0.15115619156603471	enet	2	1
G7-G77	G7	G77	-0.1498149715544437	0.1498149715544437	enet	2	1
G81-G62	G81	G62	0.14950270971648075	0.14950270971648075	enet	2	1
G10-G63	G10	G63	0.14613040455781443	0.14613040455781443	enet	2	1
G23-G35	G23	G35	-0.1456228262835894	0.1456228262835894	enet	2	1
G91-G43	G91	G43	0.14479612062267705	0.14479612062267705	enet	2	1
G50-G90	G50	G90	-0.14327127344928905	0.14327127344928905	enet	2	1
G8-G42	G8	G42	0.14291643630249992	0.14291643630249992	enet	2	1
G35-G4	G35	G4	-0.14275095341234806	0.14275095341234806	enet	2	1
G80-G56	G80	G56	0.14130919736700165	0.14130919736700165	enet	2	1
G7-G46	G7	G46	0.14129694264141587	0.14129694264141587	enet	2	1
G43-G36	G43	G36	-0.14120147272554093	0.14120147272554093	enet	2	1
G16-G76	G16	G76	0.1406390998669083	0.1406390998669083	enet	2	1
G100-G43	G100	G43	-0.13927196604291017	0.13927196604291017	enet	2	1
G38-G96	G38	G96	0.13813962672304292	0.13813962672304292	enet	2	1
G7-G37	G7	G37	0.13498629268170834	0.13498629268170834	enet	2	1
G69-G40	G69	G40	0.13368918534657584	0.13368918534657584	enet	2	1
G3-G41	G3	G41	0.13361017744499779	0.13361017744499779	enet	2	1
G99-G30	G99	G30	-0.1333777202549959	0.1333777202549959	enet	2	1
G60-G76	G60	G76	0.13293076105229987	0.13293076105229987	enet	2	1
G77-G72	G77	G72	-0.1327715000348	0.1327715000348	enet	2	1
G63-G43	G63	G43	0.13149891357755206	0.13149891357755206	enet	2	1
G52-G46	G52	G46	0.13098319340842635	0.13098319340842635	enet	2	1
G59-G68	G59	G68	-0.13095477155070206	0.13095477155070206	enet	2	1
G23-G73	G23	G73	-0.13090653460860718	0.13090653460860718	enet	2	1
G62-G51	G62	G51	-0.13024529392989312	0.13024529392989312	enet	2	1
G21-G36	G21	G36	0.1300920577622739	0.1300920577622739	enet	2	1
G45-G71	G45	G71	0.12777500680547688	0.12777500680547688	enet	2	1
G5-G47	G5	G47	0.12655534948837927	0.12655534948837927	enet	2	1
G29-G37	G29	G37	0.1260529217609207	0.1260529217609207	enet	2	1
G57-G63	G57	G63	0.12575514005868998	0.12575514005868998	enet	2	1
G41-G23	G41	G23	-0.12548156903897145	0.12548156903897145	enet	2	1
G25-G51	G25	G51	-0.12531495862815445	0.12531495862815445	enet	2	1
G87-G76	G87	G76	-0.12505457122773853	0.12505457122773853	enet	2	1
G10-G75	G10	G75	0.12460055959497186	0.12460055959497186	enet	2	1
G29-G74	G29	G74	-0.12453899013828099	0.12453899013828099	enet	2	1
G49-G99	G49	G99	0.12440881053318997	0.12440881053318997	enet	2	1
G41-G73	G41	G73	-0.12435733614748229	0.12435733614748229	enet	2	1
