Cause-Effect	Cause	Effect
G1-G2	G1	G2
G1-G3	G1	G3
G1-G4	G1	G4
G5-G2	G5	G2
G5-G3	G5	G3
G5-G4	G5	G4
G5-G6	G5	G6
G5-G7	G5	G7
G5-G8	G5	G8
G5-G9	G5	G9
G5-G10	G5	G10
G5-G11	G5	G11
G5-G12	G5	G12
G5-G13	G5	G13
G5-G14	G5	G14
G5-G15	G5	G15
G5-G16	G5	G16
G5-G17	G5	G17
G5-G18	G5	G18
G5-G19	G5	G19
G5-G20	G5	G20
G5-G21	G5	G21
G5-G22	G5	G22
G10-G37	G10	G37
G10-G44	G10	G44
G10-G50	G10	G50
G15-G14	G15	G14
G23-G24	G23	G24
G25-G7	G25	G7
G26-G27	G26	G27
G26-G28	G26	G28
G26-G29	G26	G29
G26-G30	G26	G30
G26-G31	G26	G31
G26-G32	G26	G32
G26-G33	G26	G33
G26-G34	G26	G34
G26-G35	G26	G35
G36-G37	G36	G37
G37-G1	G37	G1
G37-G8	G37	G8
G37-G10	G37	G10
G37-G23	G37	G23
G37-G24	G37	G24
G37-G25	G37	G25
G37-G29	G37	G29
G37-G47	G37	G47
G37-G48	G37	G48
G37-G51	G37	G51
G37-G59	G37	G59
G37-G60	G37	G60
G37-G61	G37	G61
G37-G62	G37	G62
G37-G64	G37	G64
G37-G67	G37	G67
G37-G68	G37	G68
G37-G69	G37	G69
G37-G70	G37	G70
G37-G71	G37	G71
G37-G72	G37	G72
G37-G73	G37	G73
G37-G74	G37	G74
G37-G75	G37	G75
G38-G9	G38	G9
G38-G39	G38	G39
G40-G41	G40	G41
G42-G1	G42	G1
G43-G44	G43	G44
G43-G45	G43	G45
G44-G10	G44	G10
G44-G31	G44	G31
G44-G50	G44	G50
G44-G62	G44	G62
G44-G63	G44	G63
G44-G64	G44	G64
G45-G44	G45	G44
G46-G4	G46	G4
G46-G9	G46	G9
G46-G10	G46	G10
G46-G16	G46	G16
G46-G17	G46	G17
G46-G18	G46	G18
G46-G22	G46	G22
G46-G24	G46	G24
G46-G37	G46	G37
G46-G47	G46	G47
G46-G48	G46	G48
G46-G49	G46	G49
G46-G50	G46	G50
G46-G51	G46	G51
G46-G52	G46	G52
G46-G53	G46	G53
G46-G54	G46	G54
G46-G55	G46	G55
G46-G56	G46	G56
G46-G57	G46	G57
G46-G58	G46	G58
G46-G59	G46	G59
G46-G60	G46	G60
G46-G61	G46	G61
G54-G55	G54	G55
G54-G81	G54	G81
G54-G82	G54	G82
G55-G54	G55	G54
G57-G56	G57	G56
G62-G10	G62	G10
G62-G44	G62	G44
G62-G50	G62	G50
G63-G19	G63	G19
G63-G20	G63	G20
G63-G41	G63	G41
G63-G51	G63	G51
G63-G59	G63	G59
G63-G60	G63	G60
G63-G61	G63	G61
G63-G75	G63	G75
G63-G78	G63	G78
G63-G79	G63	G79
G63-G80	G63	G80
G64-G28	G64	G28
G64-G94	G64	G94
G64-G95	G64	G95
G65-G66	G65	G66
G66-G65	G66	G65
G67-G68	G67	G68
G67-G69	G67	G69
G69-G67	G69	G67
G69-G68	G69	G68
G72-G23	G72	G23
G72-G24	G72	G24
G72-G76	G72	G76
G72-G77	G72	G77
G73-G89	G73	G89
G75-G24	G75	G24
G82-G54	G82	G54
G82-G55	G82	G55
G83-G19	G83	G19
G83-G20	G83	G20
G83-G49	G83	G49
G83-G84	G83	G84
G83-G85	G83	G85
G85-G4	G85	G4
G85-G9	G85	G9
G85-G11	G85	G11
G85-G12	G85	G12
G85-G13	G85	G13
G85-G16	G85	G16
G85-G17	G85	G17
G85-G18	G85	G18
G85-G25	G85	G25
G85-G38	G85	G38
G85-G39	G85	G39
G85-G58	G85	G58
G85-G84	G85	G84
G85-G86	G85	G86
G85-G87	G85	G87
G85-G88	G85	G88
G87-G86	G87	G86
G90-G28	G90	G28
G90-G70	G90	G70
G91-G21	G91	G21
G91-G92	G91	G92
G92-G28	G92	G28
G93-G28	G93	G28
G93-G64	G93	G64
G93-G94	G93	G94
G93-G95	G93	G95
G96-G10	G96	G10
G96-G21	G96	G21
G96-G62	G96	G62
G96-G97	G96	G97
G98-G99	G98	G99
G99-G54	G99	G54
G99-G55	G99	G55
G100-G10	G100	G10
G100-G88	G100	G88
