gene	t0_rep2	t1_rep2	t2_rep2	t3_rep2	t4_rep2	t5_rep2	t6_rep2	t7_rep2	t8_rep2	t9_rep2	t10_rep2	t11_rep2	t12_rep2	t13_rep2	t14_rep2	t15_rep2	t16_rep2	t17_rep2	t18_rep2	t19_rep2	t20_rep2
G1	-0.122999809524	-0.0332603095238	-0.117809209524	-0.163710009524	-0.0736153095238	-0.0366402095238	-0.0343187095238	0.00768009047619	-0.0185394095238	0.0857009904762	0.0607190904762	0.0133377904762	0.00231789047619	0.0270576904762	0.0177326904762	0.0729393904762	0.0332214904762	0.126744390476	-0.00917820952381	0.0900675904762	0.0725520904762
G2	-0.231625671429	0.100688728571	0.146856628571	0.310322828571	0.278875628571	0.158254228571	0.257024728571	0.232833628571	0.166573128571	0.297557228571	0.352234028571	-0.0850487714286	-0.170648671429	-0.214593671429	-0.224013371429	-0.229829771429	-0.232876971429	-0.215919771429	-0.232928471429	-0.232592871429	-0.231142771429
G3	0.00216793333333	-0.0222207666667	0.0124333333333	-0.0158337666667	-0.0581401666667	-0.0225524666667	-0.0326841666667	0.0439360333333	0.0655579333333	-0.0299687666667	0.0388439333333	0.0533870333333	0.0706465333333	-0.0113293666667	0.0386700333333	0.0605285333333	-0.0404650666667	-0.121843766667	-0.00353396666667	0.00348993333333	-0.0310889666667
G4	-0.0664047380952	-0.123325338095	-0.0757996380952	-0.0542350380952	-0.115129538095	-0.0433724380952	0.00221646190476	0.00294866190476	-0.00245383809524	-0.0548231380952	0.0222630619048	0.0310562619048	-0.0866494380952	0.0997154619048	0.0102340619048	0.0898777619048	0.0519379619048	0.129900261905	0.0489576619048	0.00576496190476	0.127320561905
G5	0.0119636904762	0.00686769047619	0.0785149904762	0.0289287904762	0.00175699047619	0.0230697904762	0.0321186904762	0.0234989904762	0.00326749047619	0.0167932904762	-0.0434473095238	-0.0237288095238	-0.0350091095238	0.103555490476	-0.0464932095238	0.0192656904762	-0.0430922095238	-0.0553746095238	-0.0279541095238	-0.00607970952381	-0.0684225095238
G6	0.0146874428571	0.0727566428571	0.165539242857	0.0781206428571	0.136369642857	0.0723367428571	0.0600741428571	0.0198885428571	-0.0546668571429	0.138330642857	-0.0152119571429	-0.0937717571429	-0.0653037571429	-0.0661109571429	-0.0180916571429	-0.0394836571429	-0.0844737571429	-0.106966757143	-0.0762391571429	-0.0677029571429	-0.0700804571429
G7	-0.0155957619048	0.0249003380952	-0.0366265619048	-0.0182125619048	-0.0326598619048	-0.00458996190476	-0.00248696190476	-0.0158249619048	0.00802983809524	0.0117406380952	0.00750693809524	0.109931338095	0.00330783809524	0.00138363809524	-0.0208799619048	-0.00978446190476	0.0192230380952	-0.0234761619048	-0.00421746190476	0.0405681380952	-0.0422370619048
G8	-0.063489347619	0.113893852381	0.265106952381	0.274761552381	0.298452452381	0.255544452381	0.175647052381	0.225610952381	0.289787652381	0.260255252381	0.273160152381	-0.162141547619	-0.232784047619	-0.222021947619	-0.263734347619	-0.243996847619	-0.166505447619	-0.253684547619	-0.247950247619	-0.288488647619	-0.287423347619
G9	0.122204609524	-0.0359137904762	-0.168068290476	-0.185328090476	-0.164343890476	-0.166215290476	-0.161259090476	-0.149365590476	-0.167814990476	-0.184635590476	-0.152587090476	-0.0243094904762	0.129537009524	0.0792147095238	0.175609709524	0.180136309524	0.132333109524	0.136267409524	0.182609509524	0.190463409524	0.231465409524
G10	0.0657525857143	0.164060985714	0.139239785714	0.0375608857143	-0.0573000142857	-0.141969414286	-0.175928214286	-0.279312514286	-0.311285214286	-0.299646014286	-0.306184314286	-0.0839009142857	0.141186885714	0.0122213857143	0.173956285714	0.0900670857143	0.154317285714	0.100992885714	0.172519285714	0.198960885714	0.204690385714
G11	0.130949638095	0.0354576380952	0.133592338095	-0.0968535619048	-0.156217961905	-0.107637961905	-0.167357061905	-0.163832761905	-0.201953061905	-0.192104161905	-0.184391561905	-0.0743255619048	-0.0203942619048	0.0539546380952	0.0722648380952	0.104531438095	0.209804938095	0.125049238095	0.164002238095	0.164274038095	0.171186938095
G12	0.203755328571	0.123241428571	0.107966228571	0.0740937285714	-0.116876971429	-0.204554471429	-0.232572971429	-0.246615471429	-0.235061171429	-0.231081371429	-0.249482271429	-0.191653871429	-0.0641646714286	0.00934242857143	0.100542528571	0.162537128571	0.163810628571	0.153324728571	0.257790028571	0.174921028571	0.240738028571
G13	-0.0362029714286	-0.119018371429	-0.0280212714286	0.152606528571	0.118322928571	0.134624528571	0.0388446285714	0.104636628571	0.0947645285714	0.104942828571	0.0356428285714	0.144177828571	0.0817374285714	-0.0318924714286	-0.0787881714286	-0.176356171429	-0.133179171429	-0.00645477142857	-0.117350971429	-0.110086771429	-0.172949571429
G14	-0.0849290666667	0.000341433333333	0.0355487333333	-0.0214924666667	0.0914697333333	0.135520833333	0.0777055333333	0.0348222333333	0.100513233333	0.136673933333	0.123476333333	0.102315033333	0.0522816333333	-0.00519176666667	-0.0935614666667	-0.171066666667	-0.0802699666667	-0.120078066667	-0.165465366667	-0.0105128666667	-0.138100966667
G15	-0.0489731428571	0.00911035714286	0.0156570571429	0.0307350571429	0.0465316571429	0.0263197571429	-0.00437114285714	-0.0322764428571	0.105447457143	0.0327620571429	0.0279628571429	-0.0134682428571	-0.0128187428571	-0.0608243428571	-0.0579723428571	0.0325611571429	0.0186754571429	-0.0796443428571	0.00892115714286	-0.0480102428571	0.00367495714286
G16	-0.175339880952	-0.146490480952	-0.171013480952	-0.0984935809524	-0.0385085809524	0.0427712190476	-0.0127928809524	0.0925491190476	0.0716979190476	0.0180209190476	0.0864848190476	0.0584624190476	0.0847395190476	0.106779919048	0.0638189190476	0.0927630190476	0.0619214190476	0.0253824190476	-0.0355709809524	-0.0270362809524	-0.100145480952
G17	-0.0500843095238	-0.0567669095238	-0.0717806095238	-0.166980609524	0.00982809047619	0.0147105904762	0.00561839047619	0.0503879904762	0.0291113904762	0.0223008904762	0.139014390476	0.113919190476	0.110947290476	0.0668669904762	-0.0594561095238	-0.0563385095238	-0.0318461095238	-0.00726730952381	-0.0126406095238	-0.0523594095238	0.00281529047619
G18	0.323479585714	0.206168685714	0.236673985714	0.235220185714	0.219313585714	0.135356485714	0.0405355857143	-0.00678401428571	-0.0576312142857	-0.0887670142857	-0.0830863142857	-0.124905014286	-0.0793258142857	-0.118759614286	-0.0580424142857	-0.136058014286	-0.141672814286	-0.102829714286	-0.131425614286	-0.145003414286	-0.122457114286
G19	0.244191647619	0.258848047619	0.288284047619	-0.020331352381	-0.063654252381	-0.161859252381	-0.226570352381	-0.304354252381	-0.324627352381	-0.342648452381	-0.357359352381	-0.362906652381	-0.190639652381	0.000462547619048	0.115378647619	0.210450547619	0.208751947619	0.169857847619	0.259683447619	0.421130947619	0.177911247619
G20	0.0343856857143	0.207861285714	0.132514885714	0.153486585714	0.0973357857143	0.234627085714	0.225099885714	0.279786085714	0.206315285714	0.173749585714	0.140606485714	-0.119263814286	-0.150853514286	-0.141553114286	-0.200520314286	-0.203440814286	-0.190255314286	-0.234192514286	-0.218420214286	-0.232314214286	-0.194954814286
