Cause-Effect	Cause	Effect
G1-G2	G1	G2
G1-G3	G1	G3
G1-G4	G1	G4
G1-G5	G1	G5
G1-G6	G1	G6
G4-G49	G4	G49
G4-G81	G4	G81
G4-G82	G4	G82
G7-G8	G7	G8
G8-G1	G8	G1
G8-G18	G8	G18
G8-G20	G8	G20
G8-G23	G8	G23
G8-G24	G8	G24
G8-G38	G8	G38
G8-G77	G8	G77
G8-G80	G8	G80
G9-G10	G9	G10
G9-G11	G9	G11
G9-G12	G9	G12
G12-G46	G12	G46
G13-G3	G13	G3
G13-G7	G13	G7
G13-G8	G13	G8
G13-G14	G13	G14
G13-G15	G13	G15
G13-G16	G13	G16
G13-G17	G13	G17
G13-G18	G13	G18
G13-G19	G13	G19
G13-G20	G13	G20
G13-G21	G13	G21
G13-G22	G13	G22
G13-G23	G13	G23
G13-G24	G13	G24
G13-G25	G13	G25
G13-G26	G13	G26
G17-G7	G17	G7
G17-G27	G17	G27
G17-G32	G17	G32
G17-G37	G17	G37
G17-G44	G17	G44
G17-G62	G17	G62
G17-G63	G17	G63
G17-G64	G17	G64
G22-G12	G22	G12
G22-G15	G22	G15
G22-G17	G22	G17
G22-G18	G22	G18
G22-G19	G22	G19
G22-G36	G22	G36
G22-G54	G22	G54
G22-G85	G22	G85
G22-G86	G22	G86
G22-G87	G22	G87
G22-G88	G22	G88
G23-G18	G23	G18
G26-G30	G26	G30
G26-G38	G26	G38
G26-G48	G26	G48
G26-G59	G26	G59
G26-G75	G26	G75
G26-G78	G26	G78
G26-G97	G26	G97
G27-G21	G27	G21
G27-G28	G27	G28
G27-G29	G27	G29
G27-G30	G27	G30
G27-G31	G27	G31
G27-G32	G27	G32
G27-G33	G27	G33
G27-G34	G27	G34
G27-G35	G27	G35
G29-G13	G29	G13
G29-G26	G29	G26
G29-G38	G29	G38
G29-G45	G29	G45
G29-G54	G29	G54
G29-G55	G29	G55
G29-G56	G29	G56
G29-G57	G29	G57
G29-G58	G29	G58
G29-G59	G29	G59
G29-G60	G29	G60
G29-G61	G29	G61
G34-G97	G34	G97
G35-G25	G35	G25
G35-G47	G35	G47
G35-G89	G35	G89
G36-G23	G36	G23
G36-G37	G36	G37
G36-G38	G36	G38
G38-G24	G38	G24
G38-G26	G38	G26
G38-G30	G38	G30
G38-G63	G38	G63
G38-G80	G38	G80
G38-G89	G38	G89
G39-G40	G39	G40
G40-G23	G40	G23
G41-G35	G41	G35
G41-G42	G41	G42
G43-G25	G43	G25
G44-G18	G44	G18
G44-G37	G44	G37
G45-G31	G45	G31
G45-G42	G45	G42
G45-G46	G45	G46
G45-G47	G45	G47
G45-G48	G45	G48
G45-G49	G45	G49
G45-G50	G45	G50
G51-G18	G51	G18
G51-G19	G51	G19
G51-G26	G51	G26
G51-G52	G51	G52
G51-G53	G51	G53
G64-G5	G64	G5
G64-G17	G64	G17
G64-G26	G64	G26
G64-G28	G64	G28
G64-G31	G64	G31
G64-G32	G64	G32
G64-G37	G64	G37
G64-G62	G64	G62
G64-G69	G64	G69
G64-G93	G64	G93
G64-G94	G64	G94
G64-G95	G64	G95
G64-G96	G64	G96
G65-G2	G65	G2
G65-G30	G65	G30
G65-G42	G65	G42
G65-G51	G65	G51
G65-G55	G65	G55
G65-G66	G65	G66
G65-G67	G65	G67
G65-G68	G65	G68
G65-G69	G65	G69
G65-G70	G65	G70
G65-G71	G65	G71
G71-G26	G71	G26
G71-G49	G71	G49
G71-G50	G71	G50
G71-G74	G71	G74
G71-G79	G71	G79
G71-G81	G71	G81
G71-G82	G71	G82
G71-G84	G71	G84
G71-G99	G71	G99
G71-G100	G71	G100
G72-G13	G72	G13
G72-G16	G72	G16
G72-G18	G72	G18
G72-G21	G72	G21
G72-G22	G72	G22
G72-G23	G72	G23
G72-G24	G72	G24
G72-G26	G72	G26
G72-G65	G72	G65
G72-G73	G72	G73
G74-G1	G74	G1
G74-G3	G74	G3
G74-G14	G74	G14
G74-G15	G74	G15
G74-G37	G74	G37
G74-G47	G74	G47
G74-G69	G74	G69
G74-G72	G74	G72
G74-G75	G74	G75
G74-G76	G74	G76
G74-G77	G74	G77
G74-G78	G74	G78
G74-G79	G74	G79
G79-G3	G79	G3
G79-G18	G79	G18
G79-G19	G79	G19
G79-G21	G79	G21
G79-G24	G79	G24
G79-G36	G79	G36
G79-G62	G79	G62
G79-G73	G79	G73
G79-G89	G79	G89
G79-G90	G79	G90
G83-G39	G83	G39
G83-G84	G83	G84
G91-G43	G91	G43
G91-G63	G91	G63
G92-G31	G92	G31
G92-G63	G92	G63
G98-G43	G98	G43
G98-G53	G98	G53
G98-G84	G98	G84
