Cause-Effect	Cause	Effect
G1-G2	G1	G2
G1-G3	G1	G3
G1-G4	G1	G4
G1-G5	G1	G5
G1-G6	G1	G6
G1-G7	G1	G7
G1-G8	G1	G8
G1-G9	G1	G9
G1-G10	G1	G10
G1-G11	G1	G11
G1-G12	G1	G12
G1-G13	G1	G13
G1-G14	G1	G14
G1-G15	G1	G15
G1-G16	G1	G16
G1-G17	G1	G17
G1-G18	G1	G18
G1-G19	G1	G19
G1-G20	G1	G20
G5-G1	G5	G1
G5-G3	G5	G3
G5-G4	G5	G4
G5-G6	G5	G6
G5-G7	G5	G7
G5-G11	G5	G11
G5-G12	G5	G12
G5-G13	G5	G13
G5-G14	G5	G14
G5-G15	G5	G15
G5-G17	G5	G17
G5-G19	G5	G19
G5-G21	G5	G21
G5-G22	G5	G22
G5-G35	G5	G35
G5-G39	G5	G39
G5-G40	G5	G40
G5-G41	G5	G41
G5-G42	G5	G42
G5-G43	G5	G43
G5-G44	G5	G44
G5-G45	G5	G45
G5-G46	G5	G46
G5-G47	G5	G47
G5-G48	G5	G48
G5-G49	G5	G49
G5-G50	G5	G50
G5-G51	G5	G51
G5-G52	G5	G52
G5-G53	G5	G53
G5-G54	G5	G54
G5-G55	G5	G55
G5-G56	G5	G56
G5-G57	G5	G57
G5-G58	G5	G58
G5-G59	G5	G59
G5-G60	G5	G60
G7-G6	G7	G6
G7-G29	G7	G29
G7-G36	G7	G36
G7-G37	G7	G37
G21-G22	G21	G22
G23-G24	G23	G24
G23-G25	G23	G25
G23-G26	G23	G26
G23-G27	G23	G27
G26-G25	G26	G25
G26-G27	G26	G27
G28-G29	G28	G29
G29-G6	G29	G6
G29-G7	G29	G7
G29-G21	G29	G21
G29-G33	G29	G33
G29-G40	G29	G40
G29-G44	G29	G44
G29-G46	G29	G46
G29-G54	G29	G54
G29-G63	G29	G63
G29-G64	G29	G64
G29-G65	G29	G65
G29-G66	G29	G66
G29-G67	G29	G67
G29-G68	G29	G68
G29-G69	G29	G69
G29-G70	G29	G70
G29-G71	G29	G71
G29-G72	G29	G72
G29-G73	G29	G73
G29-G74	G29	G74
G29-G75	G29	G75
G29-G76	G29	G76
G30-G31	G30	G31
G32-G33	G32	G33
G34-G35	G34	G35
G34-G36	G34	G36
G34-G37	G34	G37
G34-G38	G34	G38
G36-G3	G36	G3
G36-G6	G36	G6
G36-G7	G36	G7
G36-G37	G36	G37
G36-G46	G36	G46
G36-G62	G36	G62
G36-G63	G36	G63
G38-G36	G38	G36
G38-G37	G38	G37
G45-G49	G45	G49
G45-G61	G45	G61
G46-G6	G46	G6
G46-G7	G46	G7
G46-G36	G46	G36
G46-G37	G46	G37
G50-G12	G50	G12
G50-G13	G50	G13
G50-G14	G50	G14
G50-G15	G50	G15
G50-G21	G50	G21
G50-G40	G50	G40
G50-G41	G50	G41
G50-G42	G50	G42
G50-G51	G50	G51
G50-G52	G50	G52
G50-G53	G50	G53
G50-G54	G50	G54
G50-G55	G50	G55
G53-G51	G53	G51
G53-G52	G53	G52
G56-G3	G56	G3
G56-G11	G56	G11
G58-G59	G58	G59
G62-G16	G62	G16
G62-G31	G62	G31
G62-G60	G62	G60
G62-G69	G62	G69
G62-G70	G62	G70
G62-G71	G62	G71
G62-G74	G62	G74
G62-G76	G62	G76
G62-G85	G62	G85
G62-G86	G62	G86
G63-G26	G63	G26
G63-G27	G63	G27
G63-G92	G63	G92
G63-G93	G63	G93
G63-G97	G63	G97
G64-G65	G64	G65
G64-G66	G64	G66
G66-G64	G66	G64
G66-G65	G66	G65
G72-G39	G72	G39
G72-G67	G72	G67
G77-G78	G77	G78
G78-G77	G78	G77
G79-G8	G79	G8
G79-G9	G79	G9
G79-G12	G79	G12
G79-G13	G79	G13
G79-G14	G79	G14
G79-G15	G79	G15
G79-G19	G79	G19
G79-G40	G79	G40
G79-G42	G79	G42
G79-G43	G79	G43
G79-G45	G79	G45
G79-G47	G79	G47
G79-G48	G79	G48
G79-G54	G79	G54
G79-G55	G79	G55
G79-G57	G79	G57
G79-G58	G79	G58
G79-G59	G79	G59
G79-G60	G79	G60
G79-G61	G79	G61
G79-G69	G79	G69
G79-G75	G79	G75
G79-G77	G79	G77
G79-G78	G79	G78
G79-G80	G79	G80
G79-G81	G79	G81
G79-G82	G79	G82
G79-G83	G79	G83
G79-G84	G79	G84
G79-G85	G79	G85
G79-G86	G79	G86
G79-G87	G79	G87
G79-G88	G79	G88
G79-G89	G79	G89
G79-G90	G79	G90
G79-G91	G79	G91
G79-G92	G79	G92
G79-G93	G79	G93
G80-G8	G80	G8
G80-G9	G80	G9
G80-G12	G80	G12
G80-G13	G80	G13
G80-G14	G80	G14
G80-G15	G80	G15
G80-G19	G80	G19
G80-G40	G80	G40
G80-G42	G80	G42
G80-G43	G80	G43
G80-G45	G80	G45
G80-G47	G80	G47
G80-G48	G80	G48
G80-G54	G80	G54
G80-G55	G80	G55
G80-G57	G80	G57
G80-G58	G80	G58
G80-G59	G80	G59
G80-G60	G80	G60
G80-G61	G80	G61
G80-G69	G80	G69
G80-G75	G80	G75
G80-G77	G80	G77
G80-G78	G80	G78
G80-G79	G80	G79
G80-G81	G80	G81
G80-G82	G80	G82
G80-G83	G80	G83
G80-G84	G80	G84
G80-G85	G80	G85
G80-G86	G80	G86
G80-G87	G80	G87
G80-G88	G80	G88
G80-G89	G80	G89
G80-G90	G80	G90
G80-G91	G80	G91
G80-G92	G80	G92
G80-G93	G80	G93
G87-G26	G87	G26
G87-G27	G87	G27
G87-G68	G87	G68
G90-G91	G90	G91
G94-G18	G94	G18
G94-G95	G94	G95
G95-G26	G95	G26
G95-G27	G95	G27
G96-G26	G96	G26
G96-G27	G96	G27
G96-G63	G96	G63
G96-G92	G96	G92
G96-G93	G96	G93
G96-G97	G96	G97
G98-G7	G98	G7
G98-G18	G98	G18
G98-G46	G98	G46
G99-G58	G99	G58
G99-G59	G99	G59
G100-G6	G100	G6
G100-G7	G100	G7
