Cause-Effect	Cause	Effect
G1-G2	G1	G2
G1-G3	G1	G3
G1-G4	G1	G4
G1-G5	G1	G5
G1-G6	G1	G6
G1-G7	G1	G7
G1-G8	G1	G8
G1-G9	G1	G9
G3-G1	G3	G1
G3-G4	G3	G4
G3-G5	G3	G5
G3-G7	G3	G7
G3-G8	G3	G8
G3-G9	G3	G9
G3-G15	G3	G15
G3-G28	G3	G28
G3-G29	G3	G29
G3-G83	G3	G83
G3-G84	G3	G84
G3-G85	G3	G85
G10-G3	G10	G3
G10-G11	G10	G11
G10-G12	G10	G12
G13-G6	G13	G6
G13-G14	G13	G14
G13-G15	G13	G15
G13-G16	G13	G16
G13-G17	G13	G17
G13-G18	G13	G18
G13-G19	G13	G19
G13-G20	G13	G20
G13-G21	G13	G21
G18-G28	G18	G28
G18-G45	G18	G45
G18-G73	G18	G73
G18-G75	G18	G75
G22-G11	G22	G11
G22-G12	G22	G12
G22-G23	G22	G23
G24-G9	G24	G9
G24-G25	G24	G25
G26-G27	G26	G27
G28-G29	G28	G29
G28-G30	G28	G30
G28-G31	G28	G31
G28-G32	G28	G32
G28-G33	G28	G33
G28-G34	G28	G34
G31-G15	G31	G15
G31-G58	G31	G58
G31-G64	G31	G64
G31-G69	G31	G69
G31-G71	G31	G71
G31-G72	G31	G72
G33-G10	G33	G10
G33-G11	G33	G11
G33-G23	G33	G23
G33-G39	G33	G39
G35-G9	G35	G9
G35-G20	G35	G20
G35-G36	G35	G36
G35-G37	G35	G37
G36-G34	G36	G34
G38-G6	G38	G6
G38-G15	G38	G15
G38-G24	G38	G24
G38-G39	G38	G39
G38-G40	G38	G40
G38-G41	G38	G41
G38-G42	G38	G42
G38-G43	G38	G43
G38-G44	G38	G44
G38-G45	G38	G45
G38-G46	G38	G46
G38-G47	G38	G47
G38-G48	G38	G48
G40-G26	G40	G26
G40-G27	G40	G27
G40-G31	G40	G31
G40-G51	G40	G51
G40-G52	G40	G52
G40-G53	G40	G53
G40-G54	G40	G54
G40-G55	G40	G55
G40-G56	G40	G56
G40-G57	G40	G57
G40-G58	G40	G58
G40-G59	G40	G59
G40-G60	G40	G60
G40-G61	G40	G61
G41-G25	G41	G25
G42-G41	G42	G41
G45-G6	G45	G6
G45-G10	G45	G10
G45-G11	G45	G11
G45-G23	G45	G23
G45-G56	G45	G56
G45-G89	G45	G89
G45-G90	G45	G90
G45-G91	G45	G91
G46-G4	G46	G4
G46-G6	G46	G6
G46-G15	G46	G15
G46-G20	G46	G20
G46-G21	G46	G21
G46-G30	G46	G30
G46-G38	G46	G38
G46-G41	G46	G41
G46-G45	G46	G45
G46-G62	G46	G62
G46-G63	G46	G63
G46-G74	G46	G74
G46-G84	G46	G84
G49-G10	G49	G10
G49-G11	G49	G11
G49-G50	G49	G50
G52-G13	G52	G13
G52-G14	G52	G14
G52-G15	G52	G15
G52-G31	G52	G31
G52-G36	G52	G36
G52-G40	G52	G40
G52-G53	G52	G53
G52-G62	G52	G62
G52-G63	G52	G63
G52-G64	G52	G64
G52-G65	G52	G65
G52-G66	G52	G66
G52-G67	G52	G67
G52-G68	G52	G68
G52-G69	G52	G69
G52-G70	G52	G70
G56-G36	G56	G36
G56-G47	G56	G47
G56-G58	G56	G58
G56-G62	G56	G62
G56-G67	G56	G67
G56-G68	G56	G68
G56-G76	G56	G76
G56-G78	G56	G78
G56-G87	G56	G87
G56-G88	G56	G88
G58-G79	G58	G79
G59-G37	G59	G37
G59-G67	G59	G67
G64-G6	G64	G6
G64-G10	G64	G10
G64-G11	G64	G11
G64-G15	G64	G15
G64-G23	G64	G23
G64-G39	G64	G39
G64-G65	G64	G65
G64-G66	G64	G66
G65-G23	G65	G23
G65-G31	G65	G31
G65-G39	G65	G39
G65-G64	G65	G64
G65-G66	G65	G66
G65-G70	G65	G70
G65-G80	G65	G80
G71-G54	G71	G54
G71-G81	G71	G81
G71-G89	G71	G89
G72-G80	G72	G80
G72-G85	G72	G85
G73-G28	G73	G28
G73-G45	G73	G45
G73-G74	G73	G74
G73-G75	G73	G75
G76-G47	G76	G47
G76-G52	G76	G52
G76-G58	G76	G58
G76-G77	G76	G77
G76-G78	G76	G78
G76-G79	G76	G79
G76-G80	G76	G80
G76-G81	G76	G81
G78-G82	G78	G82
G82-G46	G82	G46
G82-G60	G82	G60
G82-G95	G82	G95
G85-G38	G85	G38
G85-G42	G85	G42
G85-G93	G85	G93
G86-G15	G86	G15
G86-G71	G86	G71
G86-G80	G86	G80
G92-G47	G92	G47
G92-G85	G92	G85
G92-G87	G92	G87
G92-G88	G92	G88
G92-G93	G92	G93
G94-G15	G94	G15
G94-G85	G94	G85
G95-G62	G95	G62
G95-G68	G95	G68
G95-G81	G95	G81
G96-G15	G96	G15
G96-G36	G96	G36
G96-G58	G96	G58
G96-G93	G96	G93
G97-G2	G97	G2
G97-G22	G97	G22
G97-G58	G97	G58
G97-G98	G97	G98
G99-G38	G99	G38
G99-G42	G99	G42
G100-G36	G100	G36
G100-G37	G100	G37
G100-G67	G100	G67
G100-G68	G100	G68
