gene	t0_rep2	t1_rep2	t2_rep2	t3_rep2	t4_rep2	t5_rep2	t6_rep2	t7_rep2	t8_rep2	t9_rep2	t10_rep2	t11_rep2	t12_rep2	t13_rep2	t14_rep2	t15_rep2	t16_rep2	t17_rep2	t18_rep2	t19_rep2	t20_rep2
G1	-0.105854904762	0.175690395238	-0.137108604762	-0.0916376047619	-0.0781724047619	0.155007595238	-0.0891226047619	0.0121529952381	-0.139738004762	0.0433823952381	0.0968135952381	-0.113074704762	0.0197390952381	-0.120213504762	-0.170370604762	-0.155634004762	0.138051095238	0.144468995238	0.168924095238	0.152112095238	0.0945845952381
G2	-0.0620964857143	-0.00563228571429	-0.0349210857143	0.0507943142857	-0.0155483857143	0.0355672142857	-0.0175830857143	-0.0288331857143	-0.0830332857143	0.0373674142857	0.00511521428571	-0.0275065857143	-0.0484394857143	0.0441918142857	0.0664354142857	-0.0274470857143	-0.0186945857143	0.0677635142857	0.0186265142857	-0.0377850857143	0.0816592142857
G3	-0.0050301952381	-0.0053966952381	-0.0452990952381	-0.0246667952381	0.0357638047619	-0.0752763952381	0.0344732047619	0.0258754047619	0.0416092047619	0.0521552047619	-0.0230472952381	0.0048283047619	-0.0017393952381	0.0235116047619	-0.0195594952381	-0.0674008952381	-0.0840415952381	0.0354157047619	0.0335961047619	0.122108804762	-0.0578794952381
G4	-0.138968247619	-0.013677347619	0.051539852381	0.107349652381	0.058562752381	-0.040851547619	-0.091953847619	-0.095861247619	0.062120252381	0.092202352381	-0.043847447619	0.104168352381	0.102064752381	0.092070252381	-0.155553747619	-0.027627347619	-0.058420747619	-0.051194147619	0.054802452381	-0.122844147619	0.115919152381
G5	0.0716933190476	0.0200400190476	-0.0568360809524	0.0510718190476	0.0398663190476	-0.0648261809524	-0.110745380952	0.00149501904762	-0.127846380952	-0.00451528095238	0.0222612190476	0.0277502190476	0.0163562190476	-0.0785415809524	-0.0226067809524	0.0873976190476	0.129878919048	-0.0163857809524	-0.0267795809524	-0.0177132809524	0.0589856190476
G6	0.0156382380952	0.00656513809524	-0.0103636619048	0.0116571380952	0.0144738380952	-0.0144259619048	0.00399463809524	0.00491763809524	0.000396338095238	-0.0216990619048	0.00292893809524	-0.0210504619048	-0.0192621619048	0.00978793809524	0.0138751380952	-0.00816116190476	0.00994243809524	-0.00883306190476	0.0106800380952	-0.0149929619048	0.0139310380952
G7	-0.074868752381	0.000451647619048	-0.011922652381	-0.055241152381	-0.024628752381	-0.066039852381	0.048456347619	-0.00503825238095	-0.080344552381	0.020929947619	-0.042343152381	0.094640547619	0.042272047619	0.000100547619048	-0.042881452381	0.071592947619	0.030838447619	0.044105547619	0.052716547619	0.061023647619	-0.063819652381
G8	0.0420347619048	-0.125287238095	0.0482502619048	0.102710161905	-0.0876649380952	-0.00472683809524	0.0495156619048	0.111515361905	-0.0295762380952	-0.0415051380952	0.0808236619048	0.0568833619048	-0.0865038380952	-0.0339782380952	0.0156831619048	-0.0813236380952	-0.0618821380952	0.0113009619048	0.0658273619048	0.0504439619048	-0.0825404380952
G9	-0.0997729571429	0.116150642857	-0.0924391571429	0.0509012428571	-0.102751157143	-0.0942615571429	-0.0991047571429	-0.0975273571429	0.138786942857	0.117691242857	-0.0568471571429	0.100176142857	0.0424502428571	-0.0970999571429	0.103408942857	0.154610442857	-0.105274857143	0.116764342857	-0.0902901571429	0.0959977428571	-0.101568857143
G10	0.208612319048	0.0361314190476	-0.0636087809524	0.157318719048	-0.194547080952	0.0118321190476	-0.191551680952	-0.165770180952	0.247926019048	-0.111423980952	-0.211615380952	0.221331419048	-0.222070080952	0.193199019048	0.140924919048	0.179991319048	0.199313719048	0.128196319048	-0.200990280952	-0.197599580952	-0.165600280952
G11	-0.00956702380952	-0.00238002380952	-0.00328502380952	-0.00412752380952	-0.00116342380952	0.00280317619048	-0.00391142380952	-0.00199632380952	0.00508807619048	0.00287397619048	-0.00533492380952	-0.00613072380952	0.0150978761905	0.0108399761905	0.00803577619048	-0.00474802380952	-0.00498012380952	0.00432317619048	-0.00848692380952	0.00615247619048	0.000896976190476
